1FDL_Name,1FDL_LON,1FDL_LAT,1FDL_RA,1FDL_DEC,1FDL_Flux1000,1FDL_68Conf_Radius,1FDL_95Conf_Radius,matched_DR2,DR2_Source_Name,DR2_GLON,DR2_GLAT,DR2_CLASS1,DR2_Flux1000,DR2_ASSOC1
1FDL J1813.6-1752,12.8554178943326,0.0632905157260056,273.420997548468,-17.8806268723719,8.523034374265522e-09,0.0695809562586366,0.112820152909148,True,4FGL J1813.1-1737e,12.9544105529785,0.171084940433502,spp,1.68481371076723e-08,HESS J1813-178
1FDL J1542.7+6128,95.3834211453122,45.4221221743474,235.690297209952,61.478083108708,8.377554542247516e-09,0.0270188265366638,0.043808945117818,True,4FGL J1543.0+6130,95.3921051025391,45.3827209472656,bll,6.350233672236527e-09,GB6 J1542+6129
1FDL J1512.7-0906,351.250667056849,40.1542833922722,228.177866479477,-9.10832576542034,3.260445070936751e-08,0.0231672265,0.03756387,True,4FGL J1512.8-0906,351.287536621094,40.1312217712402,FSRQ,3.4685626815189614e-08,PKS 1510-089
1FDL J1844.3-0340,28.9101939028586,0.0955641169238506,281.085535738285,-3.6668160934391,2.0109479974096435e-09,0.101614525612968,0.164760125653866,True,4FGL J1843.7-0326,28.9943256378174,0.146283149719238,,1.988530895502549e-09,
1FDL J2028.4+3335,73.4184057167562,-2.99467710274768,307.110005911861,33.5888990339703,7.994536174548239e-09,0.026391957188122,0.042792524093672,True,4FGL J2028.3+3331,73.3594284057617,-3.0110559463501,PSR,1.0419144658158077e-08,PSR J2028+3332
1FDL J1803.1-2150,8.13113514018396,0.174480549180079,270.797503795297,-21.8345818604618,7.899719667093651e-09,0.0390137874395592,0.06325784165572,True,4FGL J1803.1-2148,8.14688873291016,0.198980212211609,PSR,1.2308008834338581e-08,PSR J1803-2149
1FDL J1048.5+7143,135.444878877811,42.2936787339597,162.131671074057,71.720411262402,7.77573479858302e-09,0.0280893228645204,0.0455446672616616,True,4FGL J1048.4+7143,135.445495605469,42.2815361022949,FSRQ,8.846328114486823e-09,S5 1044+71
1FDL J1826.2-1453,16.8347190798415,-1.30534967832453,276.554921595468,-14.8973809793404,1.9221255869899517e-08,0.0390476880073514,0.0633128136379894,True,4FGL J1826.2-1450,16.8809547424316,-1.29059278964996,HMB,2.0532384681359872e-08,LS 5039
1FDL J2015.5+3709,74.8552621246732,1.19564770800442,303.891290780951,37.1582162352332,7.615879501142692e-09,0.0343912851361637,0.0557628165923463,True,4FGL J2015.5+3710,74.8705215454102,1.20481050014496,FSRQ,8.054763966924838e-09,MG2 J201534+3710
1FDL J1018.8-5855,284.337982693127,-1.68161243121274,154.718253006644,-58.9314354804323,1.8968239475221074e-08,0.0362702142473619,0.0588093559116114,True,4FGL J1018.9-5856,284.354614257813,-1.68487203121185,HMB,2.4509812845963097e-08,1FGL J1018.6-5856
1FDL J0700.8-6610,276.765029843157,-23.7293553471916,105.20075823174,-66.1688893652435,7.548831996305606e-09,0.0290329249670281,0.0470746463535605,True,4FGL J0700.5-6610,276.769653320313,-23.760103225708,bll,4.763399452656358e-09,PKS 0700-661
1FDL J2017.3+0603,48.6110465940345,-16.0127958312801,304.328116167031,6.0503724795144,7.483433780128431e-09,0.0286358636666964,0.046430846923768,True,4FGL J2017.4+0602,48.6224212646484,-16.0336818695068,PSR,6.198694002534921e-09,PSR J2017+0603
1FDL J1213.8-6238,298.632385797075,-0.0896360279029063,183.468579050362,-62.6473854848318,7.417749449385386e-09,0.0608427999819198,0.0986518973055143,True,4FGL J1213.3-6240e,298.582824707031,-0.126889109611511,snr,8.400829365484697e-09,SNR G298.6-00.0
1FDL J0211.3+1052,152.614381720391,-47.3382292937116,32.840771502303,10.8747629468621,7.3857985167244466e-09,0.0293004349890245,0.0475083956122528,True,4FGL J0211.2+1051,152.585159301758,-47.3681488037109,BLL,5.264618518907582e-09,MG1 J021114+1051
1FDL J1555.6+1111,21.882843789732,43.9866029771793,238.900271971001,11.1836033247108,7.289753045489049e-09,0.0287641860944664,0.0466389086924818,True,4FGL J1555.7+1111,21.9080200195313,43.9616851806641,BLL,1.4377574686363914e-08,PG 1553+113
1FDL J1514.1-4945,325.234435607228,6.83833020046319,228.535015812234,-49.7524366510771,7.2535785759708255e-09,0.0292036066763178,0.047351395626785,True,4FGL J1514.3-4946,325.247161865234,6.80868053436279,PSR,6.675915820153477e-09,PSR J1514-4946
1FDL J2347.1+5137,112.880979679708,-9.98469463184021,356.785135154478,51.6278966488506,7.2390197249532176e-09,0.0262926226255015,0.0426314541798256,True,4FGL J2347.0+5141,112.886703491211,-9.91519260406494,bll,2.8548265973427082e-09,1ES 2344+514
1FDL J0957.5+5524,158.585905361665,47.9045304604405,149.377113263979,55.4001112706015,7.1524666255371e-09,0.0275409039263754,0.0446554471492132,True,4FGL J0957.6+5523,158.594680786133,47.9313926696777,fsrq,1.0250811754985989e-08,4C +55.17
1FDL J1809.7-2331,7.38473764282436,-1.97247594404729,272.434678752599,-23.5330789456512,7.131606169320086e-08,0.02393142,0.038802948,True,4FGL J1809.8-2332,7.39093112945557,-1.99702835083008,PSR,6.308419386868992e-08,PSR J1809-2332
1FDL J1952.9+3252,68.7562751501385,2.81982525600357,298.240843136273,32.8685594009208,1.3956568131259852e-08,0.0259246749063396,0.0420348598559792,True,4FGL J1952.9+3252,68.7714691162109,2.82255792617798,PSR,2.0124836908053112e-08,PSR J1952+3252
1FDL J1907.0+0712,41.1166854334959,-0.169460344613481,286.763508390196,7.20123120939049,6.931025872379773e-09,0.0439131549514703,0.0712017965786153,True,4FGL J1906.9+0712,41.1228370666504,-0.148156195878983,,7.176876426484568e-09,
1FDL J2229.5+6116,106.714048526091,2.96045732291662,337.377533832744,61.2804182874553,2.7256861035503607e-08,0.021322785,0.03457325,True,4FGL J2229.0+6114,106.648445129395,2.94866323471069,PSR,3.0598872768905494e-08,PSR J2229+6114
